"name";"nombre_customer";"nombre_comercial";"giro";"tipo_facturacion";"nit";"inicio_de_cliente";"owner";"creation";"docstatus";"modified";"modified_by";"parent";"parentfield";"parenttype";"idx"
"CORP-00024";"";"Agencia de Viajes Panamex";"Agencia de Viajes";"Credito Fiscal";"85360806-3";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.906";"0";"2022-11-22 11:53:48.901";"Administrator";"";"";"";"0"
"CORP-00025";"";"Ministerio de Relaciones Exteriores";"Ministerio de Relaciones Exteriores";"Consumidor Final";"88666408-0";"15/01/2018";"rsimoni@ibw.com";"2020-08-26 09:22:52.914";"0";"2022-04-01 11:58:58.162";"jsanchez@ibw.com";"";"";"";"0"
"CORP-00026";"";"Clinica De Ortodondia Echeverria ";"Servicios de Odontologia";"Credito Fiscal";"94323876-4";"05/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.922";"0";"2022-11-22 11:54:18.227";"Administrator";"";"";"";"4"
"CORP-00027";"";"Colegio La Asuncion";"Educacion ";"Credito Fiscal";"59422288-3";"05/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.931";"0";"2022-11-22 11:52:46.040";"Administrator";"";"";"";"32"
"CORP-00028";"";"COAGRO";"VENTA FERTILIZANTES";"Credito Fiscal";"75647973-6";"04/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.939";"0";"2023-05-08 15:20:28.843";"ypaz@ibw.com.sv";"";"";"";"1"
"CORP-00029";"";"Instituto Salvadoreño del Café";"Servicios N.C.P.";"Credito Fiscal";"95144691-4";"26/09/2007";"rsimoni@ibw.com";"2020-08-26 09:22:52.947";"0";"2023-10-18 17:36:33.834";"nayala@ibw.com";"";"";"";"1"
"CORP-00030";"";"Crea Publicidad";"Publicidad";"Credito Fiscal";"85121846-8";"04/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.954";"0";"2022-10-18 14:37:27.476";"crivera@ibw.com.sv";"";"";"";"0"
"CORP-00031";"";"Espinsa";"Elaboracion de Productos Quimicas";"Credito Fiscal";"25079647-6";"07/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.965";"0";"2022-11-22 11:53:17.041";"Administrator";"";"";"";"0"
"CORP-00032";"";"Farmalog SA (sanofi-aventis)";"";"Consumidor Final";"64981423-3";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.980";"0";"2022-05-26 10:25:36.685";"jsanchez@ibw.com";"";"";"";"0"
"CORP-00033";"";"Fosep";"fondo de Inversion";"Consumidor Final";"10559994-8";"06/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.994";"0";"2022-11-22 11:56:05.781";"Administrator";"";"";"";"2"
"CORP-00034";"";"FUNPRES";"Actividades de Asesoramiento Empresarial y en materia de gestiÃ³n incluye la obtenciÃ³n y dotaciÃ³n de personal";"Credito Fiscal";"84743934-4";"07/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:53.009";"0";"2022-10-18 14:37:44.122";"crivera@ibw.com.sv";"";"";"";"0"
"CORP-00035";"";"Gibson";"Venta de Productos FarmacÃ©uticos";"Credito Fiscal";"90934549-5";"04/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:53.023";"0";"2023-02-02 16:46:34.456";"rsimoni@ibw.com";"";"";"";"4"
"CORP-00036";"";"Radio Carnaval";"ACTIVIDADES DE ESPARCIMIENTO";"Credito Fiscal";"47231344-0";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:53.037";"0";"2022-03-25 10:38:34.375";"raviles@ibw.com";"";"";"";"0"
"CORP-00037";"";"Iglesia Bautista Miramonte";"";"Consumidor Final";"20388941-3";"07/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:53.045";"0";"2023-09-26 17:47:03.512";"jderas@ibw.com";"";"";"";"4"
"CORP-00038";"";"Iglesia Cristiana Josue";"Iglesia";"Consumidor Final";"37885649-3";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:53.054";"0";"2022-11-22 11:54:53.692";"Administrator";"";"";"";"13"
"CORP-00039";"";"Insafocoop";"Cooperativa de Prestamos";"Consumidor Final";"30794048-5";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:53.063";"0";"2022-08-03 17:36:39.984";"Administrator";"";"";"";"1"
"CORP-00040";"";"La Central de Seguros y Fianzas";"Aseguradora y Afianzadora ";"Credito Fiscal";"37927492-0";"06/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:53.074";"0";"2022-11-22 11:53:49.697";"Administrator";"";"";"";"1"
"CORP-00041";"";"Lactosa";"FabricaciÃ³n de productos lÃ¡cteos excepto sorbetes y quesos sustitutos";"Credito Fiscal";"42040448-0";"05/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:53.083";"0";"2023-10-16 09:51:32.826";"nayala@ibw.com";"";"";"";"9"
"CORP-00042";"";"Libreria Cervantes, S.A. de C.V.";"Venta de Papel, carton, libros , tevistas y utiles escolares y de escritorio";"Credito Fiscal";"57362280-0";"07/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:53.092";"0";"2022-08-03 17:36:52.545";"Administrator";"";"";"";"0"
"CORP-00043";"";"Orellana amador";"Actividades Juridicas ";"Credito Fiscal";"32992814-6";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:53.101";"0";"2022-11-22 11:54:18.634";"Administrator";"";"";"";"13"
"CORP-00044";"";"PMA";"ONG";"Consumidor Final";"73761071-6";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:53.110";"0";"2022-11-22 11:53:50.121";"Administrator";"";"";"";"1"
"CORP-00045";"";"Quimex";"Fabricacion de Productos Farmaceuticos Medicamentos";"Credito Fiscal";"83919575-4";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:53.119";"0";"2022-11-22 11:52:22.035";"Administrator";"";"";"";"2"
"CORP-00046";"";"Sagrisa";"materias primas agricolas";"Credito Fiscal";"28376413-2";"20/09/2007";"rsimoni@ibw.com";"2020-08-26 09:22:53.128";"0";"2023-09-14 15:38:41.723";"nayala@ibw.com";"";"";"";"0"
"CORP-00047";"";"Salvaplastic";"Fabrica de Productos Plasticos";"Credito Fiscal";"94279493-3";"06/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:53.137";"0";"2022-11-22 11:53:17.835";"Administrator";"";"";"";"52"
"CORP-00048";"";"Servicio Tecnico Mercantil, S.A. de C.V.";"Servicio Tecnico Mercantil SA de CV";"Credito Fiscal";"40273409-4";"09/01/2008";"rsimoni@ibw.com";"2020-08-26 09:22:53.146";"0";"2022-08-03 17:36:32.668";"Administrator";"";"";"";"0"
"CORP-00049";"";"Servicios Generales de Ajuste";"Otras actividades de servicios no clasificados previamente";"Credito Fiscal";"48965150-0";"01/09/2007";"rsimoni@ibw.com";"2020-08-26 09:22:53.155";"0";"2022-11-22 11:52:12.456";"Administrator";"";"";"";"0"
